<0,stu2-8,stu2-8application2-8,checkStatus> 0.0023680892344342683
<436,registrar2-0,transcript5-9,read> 3.122576580296605E-4
<437,fac2-2,gradebook2-5,changeScore> 0.0022468023313938967
<438,admissions4-0,stu1-1application1-1,read> 1.9403051287207788E-4
<439,admissions0-0,stu0-4application0-4,read> 1.472835157945582E-4
<440,registrar2-1,roster3-5,read> 1.3338164396998155E-4
<441,admissions0-0,stu1-1application1-1,setStatus> 2.590638738193522E-4
<442,admissions4-1,stu5-2application5-2,read> 1.417881930040212E-4
<443,stu5-7,gradebook5-4,readMyScores> 8.493092541388535E-5
<444,registrar0-0,roster1-6,write> 1.4788190149929957E-4
<445,admissions0-0,stu1-5application1-5,read> 1.2464311987015245E-4
<446,app3-4,application3-4,checkStatus> 0.0014899238542397846
<447,admissions4-1,stu2-8application2-8,setStatus> 2.2280853539889914E-4
<448,registrar4-1,roster1-2,read> 2.47435397007852E-4
<449,stu5-0,stu5-0application5-0,checkStatus> 0.001465864528755004
<450,admissions2-1,stu5-3application5-3,setStatus> 1.5673062638228968E-4
<451,admissions2-0,stu0-10application0-10,read> 1.9101706494389207E-4
<452,admissions0-0,stu1-13application1-13,setStatus> 1.587917240376019E-4
<453,chair3,transcript3-15,read> 0.0020060895653380107
<454,admissions4-1,stu2-12application2-12,setStatus> 5.982275947793492E-5
<455,admissions0-0,stu0-3application0-3,setStatus> 1.0337816757926615E-4
<456,stu2-9,stu2-9application2-9,checkStatus> 0.0021455404737000497
<457,stu3-12,transcript3-12,read> 0.001748953338233636
<458,chair4,transcript4-4,read> 0.0011857750903898332
<459,registrar2-0,roster1-5,read> 2.1244432820302766E-4
<460,admissions2-1,stu1-12application1-12,read> 1.1230332318481486E-4
<461,admissions2-1,application3-1,read> 1.1609882363394079E-4
<462,app3-1,application3-1,checkStatus> 0.0014718793601261994
<463,admissions4-1,application5-0,setStatus> 2.1262192440383882E-4
<464,admissions0-0,stu4-16application4-16,read> 1.7456809549832921E-4
<465,registrar0-1,transcript0-2,read> 1.7531146109813191E-4
<466,registrar0-1,transcript4-15,read> 3.629570221304277E-4
<467,stu4-4,transcript4-4,read> 0.0010249920272861273
<468,stu0-15,transcript0-15,read> 0.0016200287212155863
<469,admissions4-1,stu4-12application4-12,setStatus> 1.8432578275089364E-4
<470,fac2-3,gradebook2-6,readScore> 5.762056756617309E-4
<471,registrar2-0,transcript1-1,read> 2.756700680247903E-4
<472,registrar0-0,roster1-3,read> 2.0180130014331657E-4
<473,admissions0-1,stu4-14application4-14,read> 1.814986000817951E-4
<474,admissions2-1,stu4-13application4-13,setStatus> 1.92852576679369E-4
<475,app3-0,application3-0,checkStatus> 0.0014778941914973943
<476,fac5-4,roster5-8,read> 0.0016612151903178678
<477,registrar2-1,transcript4-8,read> 2.117969985399384E-4
<478,fac4-0,roster4-1,read> 0.0018929514176594352
<479,stu1-10,gradebook1-3,addScore> 2.763349830548464E-4
<480,stu4-1,gradebook4-8,readMyScores> 1.2192472306885259E-4
<481,stu2-5,transcript2-5,read> 9.406951623127872E-4
<482,stu1-3,transcript1-3,read> 0.0015456491344744041
<483,admissions0-1,stu0-5application0-5,setStatus> 2.1216548401234973E-4
<484,stu4-19,stu4-19application4-19,checkStatus> 7.621292583251784E-4
<485,fac5-2,gradebook5-5,addScore> 2.47649845603322E-4
<486,admissions0-0,stu2-7application2-7,setStatus> 1.2184935306537806E-4
<487,admissions0-0,stu4-18application4-18,read> 1.1441140248123834E-5
<488,stu4-13,stu4-13application4-13,checkStatus> 0.002151555305071245
<489,registrar4-1,transcript1-8,read> 3.6960809421101394E-4
<490,registrar0-0,transcript3-18,read> 3.475034314448941E-4
<491,fac4-1,roster4-3,read> 0.0019140183474177595
<492,registrar0-1,transcript0-12,read> 3.31850003991384E-4
<493,stu3-4,stu3-4application3-4,checkStatus> 5.937139799317157E-4
<494,admissions2-1,stu2-8application2-8,read> 1.8679001949891138E-4
<495,stu4-12,transcript4-12,read> 0.0017886224511622663
<496,registrar0-1,roster2-2,read> 1.0223461360843718E-4
<497,registrar2-0,transcript4-17,read> 3.8125139918170157E-4
<498,registrar0-0,transcript2-17,read> 3.464953228561503E-4
<499,stu2-7,stu2-7application2-7,checkStatus> 0.0011109894778544938
<500,app2-3,application2-3,checkStatus> 6.839364504996422E-4
<501,stu2-14,stu2-14application2-14,checkStatus> 6.538622936436666E-4
<502,fac4-2,gradebook4-5,changeScore> 0.0013206061883022785
<503,fac4-3,gradebook4-7,assignGrade> 4.7788628115304834E-4
<504,stu4-7,stu4-7application4-7,checkStatus> 4.4935802702303346E-4
<505,admissions0-1,stu1-13application1-13,setStatus> 1.5825435779720393E-4
<506,admissions0-0,stu3-9application3-9,read> 9.503644827669882E-5
<507,admissions2-1,stu2-17application2-17,setStatus> 1.1521734021997476E-4
<508,fac1-2,roster1-5,read> 0.0028093628621465444
<509,admissions2-1,application4-0,setStatus> 1.4540882106529472E-4
<510,admissions0-1,stu4-7application4-7,setStatus> 4.911719984946972E-5
<511,admissions4-0,stu2-19application2-19,setStatus> 1.3009448783236378E-4
<512,admissions0-1,stu4-18application4-18,read> 1.1402422345422909E-5
<513,fac5-1,gradebook5-2,addScore> 1.8192434069541099E-4
<514,fac5-1,gradebook5-3,addScore> 9.97394609440115E-5
<515,registrar0-0,transcript5-2,read> 2.960898934189603E-4
<516,chair4,transcript4-10,read> 0.0019429884518804587
<517,registrar2-1,transcript5-2,read> 3.083984802123582E-4
<518,fac2-4,gradebook2-9,changeScore> 0.0022002012675905445
<519,registrar0-1,transcript4-6,read> 2.0942883583127662E-4
<520,fac5-3,roster5-7,read> 0.001682282120076192
<521,admissions2-0,stu4-12application4-12,read> 1.5964721444097126E-4
<522,registrar0-1,transcript3-17,read> 3.4790523915992274E-4
<523,admissions4-1,application3-0,setStatus> 1.390519561061814E-4
<524,admissions4-1,stu4-17application4-17,read> 8.650885067082749E-5
<525,app4-0,application4-0,checkStatus> 0.0016222501444060765
<526,fac5-1,roster5-3,read> 0.0015664140064054082
<527,registrar0-1,roster0-2,read> 1.9475231941052558E-4
<528,registrar2-1,roster3-4,write> 9.40954143732246E-5
<529,stu0-18,transcript0-18,read> 0.001580359608286956
<530,fac1-2,roster1-4,read> 0.0027566955377507337
<531,registrar2-0,transcript3-13,read> 3.676617228941783E-4
<532,admissions4-0,stu5-1application5-1,setStatus> 3.408517690554829E-5
<533,admissions2-1,stu1-13application1-13,read> 1.1420107340937783E-4
<534,registrar0-0,roster0-4,read> 1.9796051409776575E-4
<535,fac2-4,gradebook2-8,changeScore> 0.0022118515335413824
<536,fac2-0,roster2-1,read> 0.0015242801468887597
<537,admissions4-1,stu5-0application5-0,read> 1.2136969718725593E-4
<538,stu4-4,gradebook4-1,readMyScores> 1.3988054955107505E-4
<539,chair2,transcript2-7,read> 0.0010997281174931713
<540,registrar2-0,transcript2-13,read> 3.498906077489556E-4
<541,admissions2-0,application3-1,setStatus> 1.3630084931615018E-4
<542,registrar2-1,roster0-4,read> 2.0618981953370057E-4
<543,registrar2-1,transcript4-16,read> 3.8399963978207806E-4
<544,admissions4-1,application1-0,setStatus> 2.2471852496047288E-5
<545,admissions2-1,stu1-1application1-1,setStatus> 2.1172225220769393E-4
<546,stu1-9,transcript1-9,read> 0.001515897299777931
<547,admissions2-1,stu4-14application4-14,read> 1.48835015007652E-4
<548,registrar0-1,transcript5-2,read> 2.947222726641383E-4
<549,admissions2-1,stu1-8application1-8,read> 1.2131763675148896E-4
<550,admissions0-0,stu4-8application4-8,setStatus> 1.0931533434265928E-4
<551,admissions4-1,stu0-2application0-2,read> 8.320952055409408E-6
<552,fac2-3,gradebook2-6,changeScore> 0.0022409771984184773
<553,admissions0-0,stu2-1application2-1,read> 1.3044834959435904E-4
<554,stu0-11,transcript0-11,read> 0.0016051528038673497
<555,registrar2-0,transcript2-18,read> 3.6138956460762914E-4
<556,stu2-8,gradebook2-1,readMyScores> 5.819022878376709E-4
<557,admissions4-1,stu3-1application3-1,setStatus> 1.8206209141865802E-4
<558,stu3-8,transcript3-8,read> 3.406998292672493E-4
<559,admissions0-0,stu4-7application4-7,setStatus> 4.9283981512795595E-5
<560,stu0-6,stu0-6application0-6,checkStatus> 6.658919563860568E-4
<561,admissions0-0,stu1-14application1-14,setStatus> 2.2410055843492604E-4
<562,admissions4-1,stu4-5application4-5,read> 7.704662090208263E-5
<563,fac2-1,roster2-3,read> 0.001376811638580489
<564,admissions0-1,stu3-15application3-15,setStatus> 1.852099209047768E-4
<565,chair1,transcript1-1,read> 0.0015127535873971486
<566,admissions4-0,stu4-3application4-3,setStatus> 2.1936630325554313E-4
<567,admissions2-0,stu2-17application2-17,setStatus> 1.1903406370552257E-4
<568,admissions4-0,stu2-10application2-10,read> 1.1991806233207998E-4
<569,stu5-18,stu5-18application5-18,checkStatus> 0.0013696272268158827
<570,registrar0-1,transcript1-1,read> 2.646187067231283E-4
<571,registrar2-0,transcript0-5,read> 1.167753914322109E-4
<572,registrar4-0,transcript2-19,read> 4.1529039133789223E-4
<573,admissions0-0,stu3-4application3-4,setStatus> 6.511642621517722E-5
<574,fac3-1,gradebook3-3,addScore> 1.7036026363645762E-4
<575,admissions4-0,stu3-6application3-6,read> 1.8513701880727818E-4
<576,fac2-1,gradebook2-2,readScore> 5.537390837373051E-4
<577,registrar0-1,transcript5-3,read> 2.937188204661046E-4
<578,fac3-2,roster3-5,read> 0.001756016374230327
<579,stu3-5,transcript3-5,read> 3.803689421958799E-4
<580,registrar2-0,transcript1-0,read> 2.7776078745364E-4
<581,chair4,transcript4-12,read> 0.002069190678795563
<582,admissions2-0,stu3-1application3-1,read> 1.5768659878453872E-4
<583,admissions2-0,stu4-19application4-19,setStatus> 7.057566537892265E-5
<584,registrar4-1,transcript3-10,read> 4.314705729904862E-4
<585,registrar2-1,transcript3-6,read> 8.369503371346875E-5
<586,admissions4-1,stu4-0application4-0,setStatus> 6.717975630770066E-5
<587,admissions4-0,stu5-8application5-8,setStatus> 2.1487463958645237E-4
<588,stu2-10,transcript2-10,read> 0.0016448219167959804
<589,stu4-16,transcript4-16,read> 0.0018134156467426606
<590,stu4-0,stu4-0application4-0,checkStatus> 7.140106073556176E-4
<591,stu3-6,gradebook3-8,readMyScores> 3.549352617598222E-5
<592,admissions2-1,stu2-12application2-12,setStatus> 5.699091287542912E-5
<593,admissions4-1,stu2-19application2-19,setStatus> 1.3112903644335673E-4
<594,stu1-8,transcript1-8,read> 0.0015109386606618521
<595,admissions0-1,stu0-17application0-17,setStatus> 2.450381219484142E-4
<596,stu4-14,transcript4-14,read> 0.0018034983685105027
<597,registrar4-1,transcript1-6,read> 3.7203407377099326E-4
<598,registrar0-1,transcript4-18,read> 3.6897773531862965E-4
<599,admissions4-1,stu3-13application3-13,read> 1.1838162462870494E-4
<600,fac5-0,gradebook5-1,addScore> 2.5693622479351457E-4
<601,fac2-2,gradebook2-5,assignGrade> 8.024294040692489E-4
<602,registrar0-0,transcript0-17,read> 3.223007167262991E-4
<603,admissions2-1,stu2-10application2-10,setStatus> 1.3085221422915833E-4
<604,registrar2-1,transcript2-5,read> 1.9919680527831846E-4
<605,registrar4-0,transcript3-16,read> 4.164847555550415E-4
<606,registrar0-0,transcript4-18,read> 3.706899289860015E-4
<607,registrar2-1,transcript2-4,read> 2.0444688580399347E-4
<608,registrar4-1,transcript2-0,read> 2.8348581983174854E-4
<609,registrar2-1,transcript3-5,read> 8.054498539806376E-5
<610,registrar2-1,transcript2-7,read> 2.0129683748858844E-4
<611,registrar4-1,transcript5-3,read> 3.550522168511381E-4
<612,registrar2-0,transcript4-9,read> 2.129484851592984E-4
<613,admissions4-0,application0-3,setStatus> 6.945702829963822E-5
<614,admissions0-1,stu1-10application1-10,read> 1.2537843259734574E-4
<615,registrar2-0,roster5-1,write> 1.023676864022997E-4
<616,stu1-11,stu1-11application1-11,checkStatus> 0.0018929175561098561
<617,admissions0-1,stu2-19application2-19,read> 1.340568090124668E-4
<618,registrar2-1,transcript2-6,read> 1.981467891731835E-4
<619,registrar2-1,transcript2-9,read> 2.0864695022453344E-4
<620,chair4,transcript4-5,read> 0.0011915115552496107
<621,admissions4-0,stu1-5application1-5,setStatus> 1.2054970253554587E-4
<622,fac5-3,roster5-6,read> 0.0015980144010428947
<623,registrar0-0,roster4-3,read> 1.3958056620539308E-4
<624,registrar2-1,transcript2-8,read> 2.0024682138345347E-4
<625,admissions4-0,stu0-2application0-2,read> 8.255303518483103E-6
<626,chair2,transcript2-10,read> 0.0019028331978620163
<627,app1-1,application1-1,checkStatus> 2.5086859177359536E-4
<628,registrar4-1,transcript4-7,read> 2.4345715709208997E-4
<629,fac4-4,gradebook4-8,changeScore> 0.0013439067202039544
<630,stu3-4,gradebook3-2,addScore> 1.1166606663709237E-4
<631,stu3-10,transcript3-10,read> 0.0017638292555818723
<632,stu2-19,transcript2-19,read> 0.0017241601426532416
<633,admissions2-0,stu4-3application4-3,setStatus> 2.1762183961136392E-4
<634,stu2-3,stu2-3application2-3,checkStatus> 7.681440896963734E-4
<635,admissions2-0,stu2-10application2-10,setStatus> 1.3518686314772257E-4
<636,fac4-2,gradebook4-4,assignGrade> 4.695646626167355E-4
<637,admissions0-0,stu5-10application5-10,read> 2.0823842789872749E-4
<638,stu2-10,stu2-10application2-10,checkStatus> 0.0014598496973838094
<639,fac5-2,roster5-5,read> 0.0016190813308012192
<640,admissions0-0,application1-4,read> 1.666584699990977E-5
<641,fac5-3,gradebook5-7,addScore> 1.7723612834858967E-4
<642,admissions4-0,stu0-18application0-18,read> 1.9353642986847788E-4
<643,admissions4-0,stu2-7application2-7,setStatus> 1.0370596377645544E-4
<644,registrar4-0,roster1-3,read> 2.390856050196799E-4
<645,chair0,transcript0-0,read> 0.0010251540743160643
<646,registrar2-0,transcript0-16,read> 3.352555717470075E-4
<647,admissions2-1,stu0-18application0-18,read> 1.8584114438662986E-4
<648,stu5-2,transcript5-2,read> 0.0014563936303849852
<649,registrar2-0,transcript0-11,read> 3.383916508902821E-4
<650,admissions0-1,stu3-3application3-3,read> 2.150549888869297E-4
<651,fac5-3,gradebook5-6,addScore> 1.8656728746187267E-4
<652,registrar2-1,transcript2-0,read> 2.4539751390425835E-4
<653,admissions4-1,stu4-3application4-3,read> 1.9457747487175572E-4
<654,registrar4-1,roster4-4,write> 9.391166734119027E-5
<655,stu5-2,stu5-2application5-2,checkStatus> 0.001712472614974003
<656,fac2-0,gradebook2-1,addScore> 3.6108153783015234E-4
<657,stu3-7,gradebook3-3,readMyScores> 3.706800315408581E-5
<658,admissions2-0,stu2-19application2-19,setStatus> 1.2905993922137084E-4
<659,registrar4-1,transcript0-15,read> 3.962938693707863E-4
<660,registrar2-1,transcript2-1,read> 2.0339686969885842E-4
<661,registrar2-1,transcript2-2,read> 2.0234685359372346E-4
<662,admissions2-1,application2-0,setStatus> 5.5373512115858414E-5
<663,registrar2-1,transcript2-3,read> 2.0549690190912843E-4
<664,admissions4-0,stu4-14application4-14,setStatus> 1.761340404405443E-4
<665,registrar4-0,roster2-9,read> 1.6991952356751555E-4
<666,registrar0-1,roster1-3,write> 1.4608668547011453E-4
<667,admissions4-0,stu4-5application4-5,setStatus> 8.6862225017365E-5
<668,registrar4-0,transcript0-11,read> 3.8662565012631344E-4
<669,fac2-2,gradebook2-5,addScore> 2.687839367350952E-4
<670,fac4-2,gradebook4-4,changeScore> 0.0013147810553268593
<671,stu5-2,gradebook5-7,addScore> 2.0372416511277446E-4
<672,admissions0-0,stu5-16application5-16,setStatus> 1.7198542795625324E-4
<673,registrar2-0,transcript2-6,read> 1.9726808944292546E-4
<674,registrar2-0,transcript2-5,read> 1.983134491573503E-4
<675,registrar0-0,transcript3-11,read> 3.5657640874358834E-4
<676,admissions4-0,stu5-18application5-18,setStatus> 1.278486559978184E-4
<677,admissions0-0,stu2-19application2-19,read> 1.345120104013037E-4
<678,stu3-16,transcript3-16,read> 0.0017291187817693205
<679,admissions0-0,stu1-1application1-1,read> 2.279762089610299E-4
<680,registrar2-0,transcript2-4,read> 2.0354024772947465E-4
<681,admissions2-0,stu2-6application2-6,read> 1.3710013439199693E-4
<682,admissions2-0,application4-3,setStatus> 1.5969455885312943E-4
<683,registrar2-0,transcript2-3,read> 2.0458560744389948E-4
<684,admissions2-1,stu4-11application4-11,setStatus> 1.9123517591979825E-4
<685,registrar2-0,transcript2-9,read> 2.0772168658717406E-4
<686,admissions2-1,application3-4,setStatus> 1.3354788216177616E-4
<687,registrar2-0,transcript2-8,read> 1.9935880887177515E-4
<688,registrar2-1,roster5-5,write> 8.94403462053145E-5
<689,admissions0-0,stu5-17application5-17,read> 1.4612246984971688E-4
<690,registrar2-0,transcript2-7,read> 2.0040416858620001E-4
<691,stu2-5,stu2-5application2-5,checkStatus> 0.0016282649757772718
<692,registrar0-1,roster2-9,read> 1.4275889796802965E-4
<693,app1-0,application1-0,checkStatus> 2.3883892903120516E-4
<694,admissions0-1,stu5-10application5-10,read> 2.0753372932715822E-4
<695,fac5-2,gradebook5-4,addScore> 1.387920821462244E-4
<696,admissions2-1,stu3-14application3-14,setStatus> 1.2546087836392262E-4
<697,admissions4-1,application5-3,setStatus> 2.1545153856913335E-4
<698,admissions2-0,stu1-11application1-11,read> 1.5425552138578175E-4
<699,stu2-16,gradebook2-5,readMyScores> 2.6973799991296377E-4
<700,admissions0-1,application3-1,setStatus> 1.6088416883208907E-4
<701,registrar2-0,transcript2-1,read> 2.0249488801504973E-4
<702,registrar2-0,transcript2-2,read> 2.0144952830062487E-4
<703,registrar2-0,transcript2-0,read> 2.443092765920443E-4
<704,admissions2-0,stu5-8application5-8,setStatus> 2.1316589493765355E-4
<705,admissions0-1,stu0-3application0-3,setStatus> 1.0302832606461551E-4
<706,app1-3,application1-3,checkStatus> 2.6891308588718063E-4
<707,admissions2-1,stu3-19application3-19,setStatus> 1.6320022942057256E-4
<708,stu4-9,transcript4-9,read> 0.0010101161099378907
<709,admissions4-1,stu1-5application1-5,read> 1.0692734648759271E-4
<710,admissions4-0,stu3-16application3-16,read> 3.444170270928237E-5
<711,registrar4-0,roster1-1,write> 1.7785169827950868E-4
<712,registrar4-0,transcript2-6,read> 2.2538648081118207E-4
<713,registrar0-1,transcript2-3,read> 1.963839572568389E-4
<714,registrar4-1,roster3-5,write> 1.120610143251125E-4
<715,admissions0-0,application3-0,setStatus> 1.6209015001726468E-4
<716,admissions2-0,stu0-0application0-0,setStatus> 1.3462987006350878E-4
<717,chair3,transcript3-16,read> 0.0020003531004782332
<718,admissions0-0,application3-2,setStatus> 1.6472889080099498E-4
<719,admissions2-0,stu0-16application0-16,setStatus> 1.3295889081086742E-4
<720,admissions0-0,application3-1,setStatus> 1.6143046482133215E-4
<721,chair4,transcript4-9,read> 0.001168565695810501
<722,registrar2-0,transcript0-15,read> 3.4152773003355666E-4
<723,registrar4-0,transcript2-12,read> 3.985692922978046E-4
<724,admissions0-0,application3-4,setStatus> 1.6340952040912982E-4
<725,admissions0-0,application3-3,setStatus> 1.640692056050624E-4
<726,stu0-17,transcript0-17,read> 0.0015853182474030343
<727,admissions4-1,stu1-6application1-6,read> 2.52533632205318E-5
<728,fac3-1,roster3-2,read> 0.0016717486551970297
<729,admissions0-1,stu1-6application1-6,setStatus> 3.333833364015876E-5
<730,admissions4-0,stu2-12application2-12,setStatus> 5.935078504418395E-5
<731,stu4-1,gradebook4-7,readMyScores> 9.654923737965952E-5
<732,registrar2-0,roster5-9,write> 9.425744291463813E-5
<733,stu3-5,gradebook3-2,addScore> 1.1045886591669136E-4
<734,stu1-13,stu1-13application1-13,checkStatus> 0.0014478200346414191
<735,fac5-4,gradebook5-8,addScore> 2.6712956104427355E-4
<736,admissions2-0,application2-2,setStatus> 5.83218175262192E-5
<737,admissions0-1,stu0-12application0-12,read> 5.826565498707647E-5
<738,stu1-7,transcript1-7,read> 0.001525814578010089
<739,admissions2-1,stu5-13application5-13,read> 1.7730126837609656E-4
<740,registrar0-1,transcript1-5,read> 3.1077750783267693E-4
<741,fac5-4,gradebook5-9,addScore> 6.764672098288866E-5
<742,registrar4-1,roster4-4,read> 1.2912854259413661E-4
<743,chair1,transcript1-0,read> 0.0015242265171167037
<744,admissions0-1,stu2-9application2-9,setStatus> 2.3451887780887354E-4
<745,admissions0-0,stu3-13application3-13,read> 1.3799514823582766E-4
<746,registrar2-0,roster1-1,read> 2.140374117452469E-4
<747,stu5-15,transcript5-15,read> 1.2251970815978098E-4
<748,stu4-12,gradebook4-3,readMyScores> 1.7516912625251436E-4
<749,fac1-3,gradebook1-7,readScore> 2.1973575046084205E-4
<750,admissions2-1,stu4-3application4-3,setStatus> 2.106439850346468E-4
<751,registrar4-0,transcript2-15,read> 4.033467491664011E-4
<752,registrar0-0,transcript3-14,read> 3.5355208297735695E-4
<753,admissions0-1,application3-3,setStatus> 1.6351397986697424E-4
<754,registrar0-0,roster0-4,write> 1.4397128298019327E-4
<755,admissions2-1,application4-1,read> 1.34127450767289E-4
<756,admissions0-1,application3-2,setStatus> 1.641714326256955E-4
<757,admissions4-1,stu3-16application3-16,read> 3.471559298927666E-5
<758,admissions0-1,application3-0,setStatus> 1.6154162159081034E-4
<759,admissions0-1,application3-4,setStatus> 1.6285652710825292E-4
<760,stu5-0,transcript5-0,read> 0.0014464763521528274
<761,stu3-17,transcript3-17,read> 0.001719201503537163
<762,admissions4-0,application4-4,setStatus> 1.6041321759872656E-4
<763,fac1-4,gradebook1-8,changeScore> 7.555682896866371E-4
<764,admissions2-0,stu3-3application3-3,setStatus> 2.0703897101130177E-4
<765,admissions0-0,stu0-16application0-16,setStatus> 1.5747235364573674E-4
<766,stu4-14,stu4-14application4-14,checkStatus> 0.0018869027247386608
<767,admissions2-0,stu2-15application2-15,read> 3.4657966343396216E-5
<768,fac3-4,gradebook3-8,changeScore> 4.934373057927829E-4
<769,admissions2-0,application4-1,read> 1.3857059613432135E-4
<770,chair4,transcript4-16,read> 0.00209787300309445
<771,admissions4-1,stu4-2application4-2,setStatus> 1.0622843178876498E-4
<772,registrar4-0,transcript4-12,read> 4.3081712616083087E-4
<773,admissions2-1,stu2-15application2-15,read> 3.3546688865451654E-5
<774,registrar0-1,transcript3-19,read> 3.43891430367788E-4
<775,registrar4-1,transcript3-16,read> 4.229796445305587E-4
<776,stu2-4,gradebook2-5,addScore> 4.31630230652775E-4
<777,admissions4-0,stu2-7application2-7,read> 9.126124812328077E-5
<778,stu1-14,gradebook1-7,readMyScores> 4.4794949842170234E-5
<779,stu1-11,gradebook1-1,readMyScores> 9.210331574653144E-5
<780,registrar0-0,roster5-3,write> 8.307736603982374E-5
<781,registrar2-1,transcript3-17,read> 3.6404933378451313E-4
<782,admissions2-1,stu5-15application5-15,read> 3.829106442685907E-5
<783,registrar2-0,transcript0-14,read> 3.4257308974798155E-4
<784,admissions4-0,stu3-0application3-0,read> 7.396834299728127E-5
<785,registrar0-1,transcript1-2,read> 3.1178096003071064E-4
<786,fac4-4,gradebook4-9,addScore> 3.5196147213581517E-4
<787,admissions2-0,stu5-0application5-0,read> 1.1945459348410397E-4
<788,admissions2-1,stu0-6application0-6,read> 5.2524191111081334E-5
<789,admissions0-1,stu1-16application1-16,read> 1.2827122473571943E-4
<790,admissions4-0,stu5-5application5-5,read> 8.681450109088089E-5
<791,admissions4-1,stu0-12application0-12,read> 5.0153967875123546E-5
<792,admissions2-1,stu0-16application0-16,setStatus> 1.2869567988306403E-4
<793,admissions2-0,stu1-6application1-6,read> 2.485488806123347E-5
<794,admissions0-0,stu4-3application4-3,read> 2.268151630161886E-4
<795,admissions0-0,stu3-12application3-12,read> 8.168441991102368E-5
<796,admissions4-0,stu5-16application5-16,read> 1.288115563968797E-4
<797,admissions4-1,stu2-7application2-7,read> 9.198698369483767E-5
<798,registrar0-1,transcript1-8,read> 3.0576024684250865E-4
<799,fac2-3,gradebook2-7,changeScore> 0.002223501799492221
<800,stu4-6,transcript4-6,read> 0.0010349093055182848
<801,registrar0-0,transcript2-18,read> 3.485115400336379E-4
<802,admissions0-1,stu5-2application5-2,setStatus> 1.871822791809407E-4
<803,admissions0-1,stu1-4application1-4,read> 2.2489048215740024E-4
<804,chair2,transcript2-8,read> 0.001093991652633394
<805,admissions4-0,stu1-0application1-0,setStatus> 2.0701422816554345E-4
<806,registrar2-1,roster0-5,write> 1.493743488671571E-4
<807,admissions2-0,stu2-17application2-17,read> 1.0474997606085986E-4
<808,fac5-2,gradebook5-4,changeScore> 5.400383695961347E-4
<809,registrar2-0,roster4-4,read> 1.1128352327210623E-4
<810,admissions0-1,stu5-17application5-17,read> 1.456279775659615E-4
<811,admissions2-0,stu0-6application0-6,read> 5.426412290772172E-5
<812,admissions2-0,stu1-9application1-9,setStatus> 1.6916344128476392E-4
<813,chair4,transcript4-14,read> 0.002086400073374895
<814,admissions4-1,stu3-0application3-0,read> 7.455656043662347E-5
<815,registrar4-1,roster4-3,write> 1.2214398487173596E-4
<816,admissions0-1,stu1-10application1-10,setStatus> 1.424754915878929E-4
<817,admissions0-1,stu1-14application1-14,read> 1.9654111920133817E-4
<818,registrar0-1,transcript1-3,read> 3.127844122287444E-4
<819,admissions0-0,application3-3,read> 1.443809009324549E-4
<820,chair0,transcript0-13,read> 0.001885623803282684
<821,fac4-3,gradebook4-7,addScore> 9.338524223443756E-4
<822,registrar4-1,roster5-9,write> 1.0937222217934626E-4
<823,stu2-3,gradebook2-4,readMyScores> 1.4942337614816392E-4
<824,chair3,transcript3-0,read> 4.1708879917965315E-4
<825,stu4-0,transcript4-0,read> 0.0010398679446343637
<826,stu4-17,stu4-17application4-17,checkStatus> 0.0010448263327713476
<827,registrar0-1,roster0-5,read> 1.962815376882461E-4
<828,registrar4-1,roster5-8,write> 1.0601123199713842E-4
<829,stu0-3,gradebook0-3,addScore> 7.276091392537731E-5
<830,admissions4-1,stu3-4application3-4,setStatus> 5.5861299646522594E-5
<831,registrar4-1,roster5-7,write> 1.0735562807002155E-4
<832,admissions0-0,stu1-16application1-16,read> 1.2870678067709708E-4
<833,registrar4-1,roster5-2,write> 1.194551927259697E-4
<834,registrar0-1,transcript0-10,read> 3.258292908031819E-4
<835,stu0-8,stu0-8application0-8,checkStatus> 0.0017425467718299784
<836,admissions4-0,stu2-5application2-5,read> 1.337523864328796E-4
<837,admissions2-0,stu2-4application2-4,setStatus> 3.54851010734537E-5
<838,fac1-1,roster1-2,read> 0.0028198963270257065
<839,stu0-10,stu0-10application0-10,checkStatus> 0.0023440299089494882
<840,registrar4-1,roster5-1,write> 1.1878299468952815E-4
<841,stu2-16,stu2-16application2-16,checkStatus> 0.0012312861052783956
<842,chair2,transcript2-5,read> 0.0010882551877736163
<843,registrar2-1,transcript0-13,read> 3.451490438920831E-4
<844,registrar0-0,transcript1-6,read> 3.091953050726297E-4
<845,stu4-15,transcript4-15,read> 0.0017935810902783454
<846,registrar2-1,transcript0-12,read> 3.4724907610235315E-4
<847,fac4-4,gradebook4-8,addScore> 3.3116233169690857E-4
<848,fac1-0,gradebook1-1,addScore> 6.126871415961557E-4
<849,registrar4-1,transcript5-7,read> 3.5990417597109666E-4
<850,chair3,transcript3-2,read> 4.3429819375898554E-4
<851,chair3,transcript3-18,read> 0.0019774072410391236
<852,admissions0-1,stu0-16application0-16,setStatus> 1.5693945227976131E-4
<853,stu3-3,stu3-3application3-3,checkStatus> 0.002235762944267976
<854,stu5-10,stu5-10application5-10,checkStatus> 0.00215757013644244
<855,registrar0-1,roster1-5,read> 2.0392762907684838E-4
<856,registrar4-1,roster5-6,write> 1.0197804377848904E-4
<857,registrar4-1,roster5-5,write> 1.0332243985137217E-4
<858,app4-4,application4-4,checkStatus> 0.001718487446345198
<859,admissions0-1,stu2-4application2-4,read> 3.6858993163111266E-5
